name,handedness,height,weight,avg,HR
Omar Moreno,L,74,180,0.252,37
Mark Belanger,R,73,170,0.228,20
Rey Quinones,R,71,160,0.243,29
Walt Bond,L,79,228,0.256,41
Danny Cater,R,72,170,0.276,66
Billy Conigliaro,R,72,180,0.256,40
Dave McKay,B,73,195,0.229,21
Len Gabrielson,L,76,210,0.253,37
Jackie Hernandez,R,71,165,0.208,12
Bruce Bochy,R,75,205,0.239,26
Eddie Leon,R,72,170,0.236,24
John Stearns,R,72,185,0.26,46
Jack Brohamer,L,70,165,0.245,30
Jim Nettles,L,72,186,0.22,16
Mike Tyson,R,69,170,0.241,27
Rich Dauer,R,72,180,0.257,43
Bill Voss,L,74,160,0.227,19
Craig Reynolds,L,73,175,0.256,42
Art Howe,R,74,190,0.26,43
Mike Diaz,R,74,195,0.247,31
Terry Harper,R,76,195,0.253,36
Juan Marichal,R,72,185,0.165,4
Bill Russell,R,72,175,0.263,46
Lou Piniella,R,72,182,0.291,102
Andy Messersmith,R,73,200,0.17,5
Ted Ford,R,70,180,0.219,17
Bob Stinson,B,71,180,0.25,33
Benny Ayala,R,73,185,0.251,38
Lee Lacy,R,73,175,0.286,91
Jerry Grote,R,70,185,0.252,39
Rich McKinney,R,71,185,0.225,20
Jerry McNertney,R,72,180,0.237,27
Carl Warwick,R,70,170,0.248,31
Ken Boswell,L,72,170,0.248,31
Bill Almon,R,75,180,0.254,36
Norm Miller,L,70,185,0.238,24
Barry Bonnell,R,75,190,0.272,56
Jerry Turner,L,69,180,0.257,45
Steve Henderson,R,74,190,0.28,68
Jake Gibbs,L,72,180,0.233,25
Darrel Chaney,B,74,188,0.217,14
Carmen Fanzone,R,72,200,0.224,20
Kurt Bevacqua,R,72,180,0.236,27
Julio Cruz,B,69,165,0.237,23
Jim Essian,R,74,195,0.244,33
Chico Salmon,R,70,160,0.249,31
Phil Bradley,R,72,185,0.286,78
Tom Paciorek,R,76,215,0.282,86
Jim Mason,L,74,185,0.203,12
Bill Nahorodny,R,74,200,0.241,25
Cap Peterson,R,74,195,0.23,19
Eddie Milner,L,71,173,0.253,42
Cookie Rojas,R,70,160,0.263,54
Johnny Lewis,L,73,189,0.227,22
Merv Rettenmund,R,70,190,0.271,66
Gary Allenson,R,71,185,0.221,19
Tom Satriano,L,73,185,0.225,21
Lou Johnson,R,71,170,0.258,48
Leron Lee,L,72,196,0.25,31
Mike Anderson,R,74,200,0.246,28
Syd O'Brien,R,73,185,0.23,24
Steve Whitaker,L,72,180,0.23,24
Gary Gray,R,72,187,0.24,24
Steve Braun,L,70,180,0.271,52
Thurman Munson,R,71,190,0.292,113
Billy Grabarkewitz,R,70,165,0.236,28
Ron Woods,R,70,168,0.233,26
Enos Cabell,R,76,170,0.277,60
Steve Lombardozzi,R,72,175,0.233,20
Bobby Mitchell,R,75,185,0.235,21
Dick Nen,L,74,200,0.224,21
Chuck Schilling,R,70,160,0.239,23
Alex Johnson,R,72,205,0.288,78
Bob Forsch,R,76,200,0.213,12
Alan Knicely,R,72,190,0.213,12
Mike Easler,L,72,190,0.293,118
Duane Walker,L,72,185,0.229,24
Frank Duffy,R,73,180,0.232,26
Al Ferrara,R,73,200,0.259,51
Brant Alyea,R,75,215,0.247,38
Rob Wilfong,L,73,180,0.248,39
John Orsino,R,75,215,0.249,40
Jerry Royster,R,72,165,0.249,40
Paul Householder,B,72,180,0.236,29
Vic Harris,B,71,165,0.217,13
Lenn Sakata,R,69,160,0.23,25
Bob Jones,L,74,195,0.221,20
Rick Renick,R,72,188,0.221,20
Bob Kearney,R,72,190,0.233,27
Ned Yost,R,73,190,0.212,16
Mike Hargrove,L,72,195,0.29,80
Bill Madlock,R,71,180,0.305,163
Bobby Brown,B,74,190,0.245,26
Floyd Robinson,L,69,175,0.283,67
Roy Foster,R,72,185,0.253,45
Cesar Geronimo,L,72,165,0.258,51
Wes Parker,B,73,180,0.267,64
Tony Gonzalez,L,69,170,0.286,103
Terry Crowley,L,72,180,0.25,42
Hector Torres,R,72,175,0.216,18
Ron Oester,B,74,185,0.265,42
Jim Anderson,R,72,170,0.218,13
Bill Stein,R,70,170,0.267,44
Larry Haney,R,74,195,0.215,12
Tito Fuentes,B,71,175,0.268,45
Byron Browne,R,74,190,0.236,30
Dave Revering,L,76,210,0.265,62
Pete Rose,B,71,192,0.303,160
Gary Sutherland,R,72,185,0.243,24
Luis Tiant,R,72,180,0.164,5
Coco Laboy,R,70,165,0.233,28
Cleon Jones,R,72,185,0.281,93
Dick Billings,R,73,195,0.227,16
Al Downing,R,71,175,0.127,2
Dave Roberts,L,75,195,0.194,7
Marvell Wynne,L,71,175,0.247,40
Bucky Dent,R,69,170,0.247,40
Nelson Mathews,R,76,195,0.223,22
Rick Burleson,R,70,165,0.273,50
Glenn Hoffman,R,73,175,0.242,23
Juan Beniquez,R,71,150,0.274,79
John Stephenson,L,71,180,0.216,12
Billy Smith,B,74,185,0.23,17
Mike Cubbage,L,72,180,0.258,34
Dick Simpson,R,76,176,0.207,15
George Smith,R,70,170,0.205,9
Derrel Thomas,B,72,160,0.249,43
Manny Trillo,R,73,150,0.263,61
Floyd Rayford,R,70,190,0.244,38
Tony Solaita,L,72,210,0.255,50
Steve Carlton,L,76,210,0.201,13
Jim Price,R,72,192,0.214,18
Johnnie LeMaster,R,74,165,0.222,22
Charlie Moore,R,71,180,0.261,36
Len Matuszek,L,74,190,0.234,30
Ron Jackson,R,72,200,0.259,56
Bruce Bochte,L,75,195,0.282,100
Wayne Comer,R,70,175,0.229,16
Glenn Borgmann,R,76,210,0.229,16
Bill Sample,R,69,175,0.272,46
Jerry Mumphrey,B,74,185,0.289,70
Fred Kendall,R,73,185,0.234,31
Ed Ott,L,70,190,0.259,33
U L Washington,B,71,175,0.251,27
Joe Gaines,R,73,190,0.241,21
Jerry Buchek,R,71,185,0.22,22
Chris Cannizzaro,R,72,190,0.235,18
Kevin Bell,R,72,195,0.222,13
Steve Swisher,R,74,205,0.216,20
Tony Cloninger,R,72,210,0.192,11
Ivan Murrell,R,74,195,0.236,33
Ted Uhlaender,L,74,190,0.263,36
Rick Manning,L,73,180,0.257,56
Dan Briggs,L,72,180,0.195,12
Howie Goss,R,76,204,0.216,11
John Hale,L,74,195,0.201,14
Joe Azcue,R,72,190,0.252,50
George Wright,B,71,180,0.245,42
Charlie James,R,73,195,0.255,29
Champ Summers,L,74,205,0.255,54
Clint Hurdle,L,75,195,0.259,32
Mickey Brantley,R,70,180,0.259,32
Rowland Office,L,72,170,0.259,32
Jim Traber,L,72,194,0.227,27
Chris Bando,B,72,195,0.227,27
Rich Rollins,R,70,185,0.269,77
Lamar Johnson,R,74,215,0.287,64
Steve Huntz,B,73,204,0.206,16
Bob Johnson,R,70,175,0.272,44
Al Luplow,L,70,175,0.235,33
Joe Lefebvre,L,70,170,0.258,31
Jesse Gonder,L,70,180,0.251,26
Rob Picciolo,R,74,185,0.234,17
Gene Michael,B,74,183,0.229,15
Don Leppert,R,74,220,0.229,15
Rich Reese,L,75,185,0.253,52
Mitchell Page,L,74,205,0.266,72
Willie Smith,L,72,182,0.248,46
Dave Rader,L,71,165,0.257,30
Tony Horton,R,75,210,0.268,76
Buck Rodgers,B,74,190,0.232,31
Bob Uecker,R,73,190,0.2,14
Hal Breeden,R,74,200,0.243,21
Bobby Clark,R,72,190,0.239,19
Orlando Mercado,R,72,180,0.199,7
Garry Maddox,R,75,175,0.285,117
Joe Lis,R,72,175,0.233,32
Angel Mangual,R,70,178,0.245,22
Roger Freed,R,72,190,0.245,22
Al Bumbry,L,68,170,0.281,54
Harry Spilman,L,73,180,0.237,18
Vic Correll,R,70,185,0.229,29
Luis Pujols,R,74,175,0.193,6
Bob Burda,L,71,174,0.224,13
Johnny Grubb,L,75,175,0.278,99
Larry Cox,R,70,178,0.221,12
Mike Hershberger,R,70,175,0.252,26
Fernando Gonzalez,R,70,165,0.235,17
Carlos May,L,71,200,0.274,90
Ken Gerhart,R,72,190,0.221,24
Jerry Hairston,B,70,170,0.258,30
Steve Brye,R,72,190,0.258,30
Ray Knight,R,73,185,0.271,84
Gene Alley,R,70,160,0.254,55
Felix Torres,R,71,165,0.254,27
Jerry Moses,R,75,210,0.251,25
Tim Foli,R,72,179,0.251,25
Mike de la Hoz,R,71,175,0.251,25
Ron Hodges,L,73,185,0.24,19
Freddie Patek,R,65,148,0.242,41
Marty Perez,R,71,160,0.246,22
Dick Dietz,R,73,195,0.261,66
Dave Stapleton,R,73,178,0.271,41
Dave Campbell,R,73,180,0.213,20
Mike Ivie,R,75,205,0.269,81
Bump Wills,B,69,172,0.266,36
Doug Ault,R,75,200,0.236,17
Tommy John,R,75,180,0.157,5
Lou Brock,L,71,170,0.293,149
Leon Roberts,R,75,200,0.267,78
John Ellis,R,74,225,0.262,69
Chuck Hiller,L,71,170,0.243,20
Jack Heidemann,R,72,175,0.211,9
Ken Berry,R,72,175,0.255,58
Ray Culp,R,72,200,0.123,1
Jim Rooker,R,72,195,0.201,7
Jim Maloney,L,74,190,0.201,7
Keith Hernandez,L,72,180,0.296,162
Rich Morales,R,71,170,0.195,6
Chris Brown,R,72,185,0.269,38
Jim Lonborg,R,77,200,0.136,3
Alex Trevino,R,70,165,0.249,23
Ted Savage,R,73,185,0.233,34
Ed Goodson,L,75,180,0.26,30
Fred Stanley,R,70,165,0.216,10
Darryl Motley,R,69,196,0.243,44
Horace Clarke,B,69,170,0.256,27
Luis Aguayo,R,69,173,0.236,37
Dave Nelson,R,70,160,0.244,20
Ray Fosse,R,74,215,0.256,61
Jerry Koosman,R,74,205,0.119,2
Ed Spiezio,R,71,180,0.238,39
Joe Hague,L,72,195,0.239,40
Tom Hutton,L,71,180,0.248,22
Phil Niekro,R,73,180,0.169,7
Mike Fiore,L,72,175,0.227,13
Andres Mora,R,72,180,0.223,27
Ken Reitz,R,72,180,0.26,68
Dave Engle,R,75,210,0.262,31
Tommy Dean,R,72,165,0.18,4
Ron Roenicke,B,72,180,0.238,17
Chuck Harrison,R,70,185,0.238,17
Ron Clark,R,70,175,0.189,5
R.J. Reynolds,B,72,190,0.267,35
Cesar Tovar,R,69,155,0.278,46
Ron LeFlore,R,72,200,0.288,59
Pat Kelly,L,73,185,0.264,76
Len Randle,B,70,169,0.257,27
Pete LaCock,L,74,200,0.257,27
Mike Andrews,R,75,195,0.258,66
Rennie Stennett,R,71,160,0.274,41
Bob Davis,R,72,180,0.197,6
Jim Beauchamp,R,74,190,0.231,14
Jerry May,R,74,190,0.234,15
Jim Gosger,L,71,185,0.226,30
Pete Mackanin,R,74,190,0.226,30
Willie Crawford,L,73,197,0.268,86
Danny Walton,R,72,195,0.223,28
Bob Coluccio,R,71,183,0.22,26
Joel Youngblood,R,72,180,0.265,80
John Vukovich,R,73,187,0.161,6
Willie Norwood,R,72,185,0.242,18
Bruce Benedict,R,73,175,0.242,18
Ron Hunt,R,72,186,0.273,39
Tommie Aaron,R,75,190,0.229,13
Jerry Narron,L,75,205,0.211,21
Sam McDowell,L,77,190,0.154,2
Vern Fuller,R,73,170,0.232,14
Pat Putnam,L,72,205,0.255,63
Milt May,L,72,190,0.263,77
Tommie Reynolds,R,74,190,0.226,12
Ray Sadecki,L,71,180,0.191,5
John Boccabella,R,73,195,0.219,26
Larry Stahl,L,72,175,0.232,36
Jimmie Schaffer,R,69,170,0.223,11
Billy Cowan,R,72,170,0.236,40
Jack Hiatt,R,74,190,0.251,22
Paul Popovich,B,72,175,0.233,14
Tony Oliva,L,73,175,0.304,220
Butch Wynegar,B,73,190,0.255,65
Tommy Helms,R,70,165,0.269,34
Ken Landreaux,L,70,165,0.268,91
Johnny Jeter,R,73,180,0.244,18
Ted Kubiak,B,72,175,0.231,13
Al Oliver,L,72,195,0.303,219
Keith Moreland,R,72,190,0.279,121
Bob Brower,R,71,185,0.242,17
Larry Herndon,R,75,190,0.274,107
Mike Krukow,R,77,205,0.193,5
Al Woods,L,75,190,0.271,35
Hal King,L,73,200,0.214,24
Manny Sanguillen,R,72,193,0.296,65
Bobby Tolan,L,71,170,0.265,86
Rick Wise,R,73,180,0.195,15
Dalton Jones,L,73,180,0.235,41
John Kennedy,R,72,185,0.225,32
John Castino,R,71,175,0.278,41
Bob Watson,R,72,201,0.295,184
Tim Harkness,L,74,182,0.235,14
Jim Dwyer,L,70,165,0.26,77
Mike Shannon,R,75,195,0.255,68
Bob Dernier,R,72,160,0.255,23
Rico Carty,R,75,200,0.299,204
Dick Phillips,L,72,180,0.229,12
Doug Clemens,L,72,180,0.229,12
Doc Edwards,R,74,215,0.238,15
Dick Tracewski,R,71,160,0.213,8
Roy Howell,L,73,190,0.261,80
Walt Williams,R,66,165,0.27,33
Fran Healy,R,77,220,0.25,20
Joe Foy,R,72,215,0.248,58
Mark Brouhard,R,73,210,0.259,25
Ellis Valentine,R,76,205,0.278,123
Mickey Rivers,L,70,165,0.295,61
David Green,R,75,170,0.268,31
Ray Webster,L,72,185,0.244,17
Duffy Dyer,R,72,187,0.221,30
Jeff Torborg,R,72,195,0.214,8
Ed Charles,R,70,170,0.263,86
Johnny Ray,B,71,170,0.29,53
Pepe Mangual,R,70,157,0.242,16
Joe Nolan,L,71,175,0.263,27
Dave Hostetler,R,76,215,0.229,37
Gary Thomasson,L,73,180,0.249,61
Jerry White,B,70,164,0.253,21
Andres Thomas,R,73,170,0.234,42
Joe Charboneau,R,74,205,0.266,29
Curt Motton,R,68,164,0.213,25
Fritz Peterson,B,72,185,0.159,2
Dave Edwards,R,72,170,0.237,14
Ed Stroud,L,71,180,0.237,14
Art Shamsky,L,73,168,0.253,68
Bert Campaneris,R,70,160,0.259,79
Jim French,L,68,180,0.196,5
Adolfo Phillips,R,73,175,0.247,59
John Wockenfuss,R,72,190,0.262,86
Tim Cullen,R,73,185,0.22,9
Rick Auerbach,R,72,165,0.22,9
Ivan DeJesus,R,71,175,0.254,21
Mario Soto,R,72,174,0.132,1
