name,handedness,height,weight,avg,HR
Doug Camilli,R,71,195,0.199,18
Dave Roberts,R,75,215,0.239,49
Phil Gagliano,R,73,180,0.238,14
Jorge Orta,L,70,170,0.278,130
Steve Kemp,L,72,195,0.278,130
Duane Josephson,R,72,190,0.258,23
Bob Montgomery,R,73,195,0.258,23
Mike Hegan,L,73,188,0.242,53
Willie Aikens,L,75,220,0.271,110
Julian Javier,R,73,175,0.257,78
Al Cowens,R,73,197,0.27,108
Don Buford,B,67,160,0.264,93
Joe Wallis,B,71,180,0.244,16
Dick Davis,R,75,190,0.265,27
Larvell Blanks,R,68,167,0.253,20
Bake McBride,L,74,190,0.299,63
Ralph Garr,L,71,185,0.306,75
Bill Plummer,R,73,190,0.188,14
Bill Buckner,L,72,185,0.289,174
Denny McLain,R,73,185,0.133,1
Dave Collins,B,71,175,0.272,32
Dave Concepcion,R,74,155,0.267,101
Mel Stottlemyre,R,73,178,0.16,7
Buddy Biancalana,B,71,160,0.205,6
Danny Goodwin,L,73,195,0.236,13
Paul Schaal,R,71,165,0.244,57
Tom Grieve,R,74,190,0.249,65
Marc Hill,R,75,205,0.223,34
Jay Johnstone,L,73,175,0.267,102
Bob Chance,L,74,196,0.261,24
Craig Kusick,R,75,210,0.235,46
Ellie Rodriguez,R,71,185,0.245,16
Bernie Carbo,L,71,173,0.264,96
Mickey Hatcher,R,74,200,0.28,38
Doug Frobel,L,76,196,0.201,20
Gary Ward,R,74,195,0.276,130
Ron Blomberg,L,73,195,0.293,52
Larry Dierker,R,76,215,0.136,4
Dave Marshall,L,73,182,0.246,16
Ken Walters,R,73,180,0.231,11
Biff Pocoroba,B,70,175,0.257,21
Wayne Nordhagen,R,74,205,0.282,39
Dale Berra,R,72,180,0.236,49
Ken Holtzman,R,74,175,0.163,2
Tom Veryzer,R,73,175,0.241,14
Mickey Klutts,R,71,170,0.241,14
Vic Davalillo,L,67,150,0.279,36
Rick Miller,L,72,175,0.269,28
Tony Scott,B,72,164,0.249,17
Lou Clinton,R,73,185,0.247,65
Ollie Brown,R,74,178,0.265,102
Brian Giles,R,73,165,0.228,10
Hal McRae,R,71,180,0.29,191
Gates Brown,L,71,220,0.257,84
Jose Cruz,L,72,170,0.284,165
George Vukovich,L,72,198,0.268,27
Ike Brown,R,72,190,0.256,20
Andy Etchebarren,R,73,190,0.235,49
Bobby Klaus,R,70,170,0.208,6
Del Unser,L,73,180,0.258,87
Ted Sizemore,R,70,165,0.262,23
Rick Bosetti,R,71,185,0.25,17
Charlie Spikes,R,75,215,0.246,65
Larry Brown,R,70,160,0.233,47
Bobby Wine,R,73,187,0.215,30
Todd Cruz,R,72,175,0.22,34
Eric Soderholm,R,71,187,0.264,102
Von Joshua,L,70,170,0.273,30
Jim Lefebvre,B,72,180,0.251,74
Dick Howser,R,68,155,0.248,16
Bobby Cox,R,71,180,0.225,9
Gail Hopkins,L,70,198,0.266,25
Mike Davis,L,74,175,0.259,91
Hector Cruz,R,71,170,0.225,39
Cecil Cooper,L,74,165,0.298,241
Carl Morton,R,72,200,0.156,7
Dan Ford,R,73,185,0.27,121
Mike Vail,R,73,180,0.279,34
Jose Cardenal,R,70,150,0.275,138
Lee Mazzilli,B,73,180,0.259,93
Garth Iorg,R,71,170,0.258,20
Bob Barton,R,72,175,0.226,9
Jim Wohlford,R,71,175,0.26,21
Willie Montanez,L,72,170,0.275,139
Gary Nolan,R,74,197,0.138,1
Larry Biittner,L,74,205,0.273,29
Leon Durham,L,73,185,0.277,147
Glenn Adams,L,73,180,0.28,34
Jerry Morales,R,70,155,0.259,95
Otto Velez,R,72,170,0.251,78
Denny Doyle,L,69,175,0.25,16
Phil Linz,R,73,180,0.235,11
Tom Egan,R,76,218,0.2,22
Terry Humphrey,R,75,185,0.211,6
Bo Diaz,R,71,185,0.255,87
Mike Brown,R,74,195,0.265,23
Damaso Garcia,R,73,165,0.283,36
Kiko Garcia,R,71,180,0.239,12
Danny Thompson,R,72,183,0.248,15
J.R. Richard,R,80,222,0.168,10
Mike Young,B,74,195,0.247,72
Joe Torre,R,74,212,0.297,252
Pedro Garcia,R,70,175,0.22,37
Bill Schroeder,R,74,200,0.24,61
John Wathan,R,74,205,0.262,21
Cito Gaston,R,75,190,0.256,91
Stan Papi,R,72,170,0.218,7
Tom Brookens,R,70,165,0.246,71
Gary Woods,R,74,185,0.243,13
Rick Joseph,R,73,192,0.243,13
Steve Dillard,R,73,180,0.243,13
Tom Nieto,R,73,193,0.205,5
Bobby Knoop,R,73,170,0.236,56
Chuck Hinton,R,73,180,0.264,113
Ron Davis,R,72,175,0.233,10
Dan Meyer,L,71,180,0.253,86
Denny Lemaster,R,73,182,0.13,4
Terry Whitfield,L,73,197,0.281,33
Ron Washington,R,71,155,0.261,20
Billy North,B,71,185,0.261,20
Wayne Garrett,L,71,175,0.239,61
Al Weis,B,72,160,0.219,7
Jesus Alou,R,74,190,0.28,32
Ken Rudolph,R,73,180,0.213,6
Dave Hilton,R,71,191,0.213,6
Ken Hubbs,R,74,175,0.247,14
Bob Oliver,R,75,205,0.256,94
Bobby Darwin,R,74,190,0.251,83
Manny Jimenez,L,73,185,0.272,26
Glenn Hubbard,R,69,150,0.244,70
Claudell Washington,L,72,190,0.278,164
Sonny Siebert,R,75,190,0.173,12
Richie Zisk,R,73,200,0.287,207
Reid Nichols,R,71,165,0.266,22
Roberto Pena,R,68,170,0.245,13
Sandy Alomar,B,69,140,0.245,13
Rod Gilbreath,R,74,180,0.248,14
Tommy McCraw,L,72,183,0.246,75
Jerry Martin,R,73,195,0.251,85
Cesar Cedeno,R,74,175,0.285,199
Clay Dalrymple,L,72,190,0.233,55
Jim Ray Hart,R,71,185,0.278,170
Steve Renko,R,77,230,0.215,6
Rafael Santana,R,73,165,0.246,13
Phil Garner,R,70,175,0.26,109
Dave Chalk,R,70,175,0.252,15
Sal Butera,R,72,190,0.227,8
Dave Rosello,R,71,160,0.236,10
Mike Phillips,L,72,170,0.24,11
Greg Pryor,R,72,180,0.25,14
Johnny Oates,L,71,188,0.25,14
Jim Morrison,R,71,175,0.26,112
Donn Clendenon,R,76,209,0.274,159
Sixto Lezcano,R,70,165,0.271,148
Bill Sudakis,B,73,190,0.234,59
Russ Gibson,R,73,195,0.228,8
Hal Lanier,R,74,180,0.228,8
Greg Walker,L,75,205,0.26,113
Rick Reichardt,R,75,210,0.261,116
Sam Bowens,R,73,188,0.223,45
Willie Davis,L,74,180,0.279,182
Pete Ward,L,73,185,0.254,98
Elliott Maddox,R,71,180,0.261,18
Ron Swoboda,R,74,195,0.242,73
Dal Maxvill,R,71,157,0.217,6
Leroy Stanton,R,73,195,0.244,77
Ed Kranepool,L,75,205,0.261,118
Chris Chambliss,L,73,195,0.279,185
Hosken Powell,L,73,175,0.259,17
Steve Jeltz,B,71,180,0.21,5
Rusty Torres,B,70,175,0.212,35
Gary Alexander,R,74,195,0.23,55
Steve Garvey,R,70,192,0.294,272
Charley Smith,R,73,170,0.239,69
Don Wilson,R,74,195,0.146,1
Willie Upshaw,L,72,185,0.262,123
Tucker Ashford,R,73,195,0.218,6
Tito Landrum,R,71,175,0.249,13
Don Kessinger,B,73,170,0.252,14
Steve Ontiveros,B,72,185,0.274,24
Rod Carew,L,72,170,0.328,92
Jim Holt,L,72,180,0.265,19
Paul Casanova,R,76,180,0.225,50
Larry Hisle,R,74,193,0.273,166
Lee Thomas,L,74,195,0.255,106
Dave May,L,70,186,0.251,96
Barry Foote,R,75,205,0.23,57
Don Wert,R,70,162,0.242,77
Garry Hancock,L,72,175,0.247,12
Buddy Bradford,R,71,170,0.226,52
Roy White,B,70,160,0.271,160
Bob Boone,R,74,195,0.254,105
Burt Hooton,R,73,210,0.123,4
Billy Bryan,L,76,200,0.216,41
Bernie Allen,L,72,175,0.239,73
Jeffrey Leonard,R,74,200,0.266,144
Larry Harlow,L,74,185,0.248,12
Mike Lum,L,72,180,0.247,90
Ray Oyler,R,71,165,0.175,15
Buddy Bell,R,73,180,0.279,201
Bob Brenly,R,74,210,0.247,91
Amos Otis,R,71,165,0.277,193
Johnny Edwards,L,76,220,0.242,81
Leo Cardenas,R,71,150,0.257,118
Luis Alvarado,R,69,162,0.214,5
Frank Quilici,R,73,170,0.214,5
Jim Sundberg,R,72,190,0.248,95
Dan Driessen,L,71,187,0.267,153
Jim Northrup,L,75,190,0.267,153
Fred Whitfield,L,73,190,0.253,108
Rick Rhoden,R,75,195,0.238,9
Bob Knepper,L,75,195,0.137,6
Denis Menke,R,72,185,0.25,101
Alan Ashby,B,74,185,0.245,90
Ken Henderson,B,74,180,0.257,122
Dick Green,R,70,180,0.24,80
Ed Herrmann,L,73,195,0.24,80
Phil Roof,R,74,190,0.215,43
Butch Hobson,R,73,193,0.248,98
Ray Burris,R,77,200,0.151,1
Davey Johnson,R,73,170,0.261,136
Andy Kosco,R,75,205,0.236,73
Ted Simmons,B,71,193,0.285,248
Jim Fregosi,R,73,190,0.265,151
Larry Bowa,B,70,155,0.26,15
Steve Nicosia,R,70,185,0.248,11
Thad Bosley,L,75,175,0.272,20
Alan Bannister,R,71,170,0.27,19
Sandy Valdespino,L,68,170,0.23,7
Rick Leach,L,73,180,0.268,18
Richie Hebner,L,73,195,0.276,203
Bob Meacham,B,73,175,0.236,8
Joaquin Andujar,B,72,170,0.127,5
Ted Cox,R,75,195,0.245,10
John Lowenstein,L,72,175,0.253,116
George Mitterwald,R,74,195,0.236,76
Gary Matthews,R,74,185,0.281,234
Wayne Tolleson,B,69,160,0.241,9
Buck Martinez,R,70,190,0.225,58
Fergie Jenkins,R,77,205,0.165,13
Tom O'Malley,L,72,180,0.256,13
Jimmie Hall,L,72,175,0.254,121
Jimmy Stewart,B,72,165,0.237,8
Ken Singleton,B,76,210,0.282,246
Joe Simpson,L,75,175,0.242,9
Bob Horner,R,73,195,0.277,218
Catfish Hunter,R,72,190,0.226,6
Davey Lopes,R,69,170,0.263,155
Brian Asselstine,L,73,175,0.254,12
Tom Haller,L,76,195,0.257,134
Mike Jorgensen,L,72,195,0.243,95
Rick Sofield,L,73,195,0.243,9
Felix Millan,R,71,172,0.279,22
Rudy Law,L,73,165,0.271,18
Ed Kirkpatrick,L,71,195,0.238,85
Tommie Agee,R,71,195,0.255,130
Ed Brinkman,R,72,170,0.224,60
Jim Rice,R,74,200,0.298,382
Mike Ryan,R,74,205,0.193,28
Randy Hundley,R,71,170,0.236,82
Ozzie Virgil,R,73,180,0.243,98
Gaylord Perry,R,76,205,0.131,6
Joe Niekro,R,73,185,0.156,1
Tony Conigliaro,R,75,185,0.264,166
Tim Blackwell,B,71,170,0.228,6
Jose Morales,R,71,187,0.287,26
Daryl Sconiers,L,74,185,0.265,15
Domingo Ramos,R,70,154,0.24,8
Max Alvis,R,71,185,0.247,111
Jim Fairey,L,70,190,0.235,7
Dusty Baker,R,74,183,0.278,242
Jeff Newman,R,74,215,0.224,63
Wayne Krenchicki,L,73,180,0.266,15
Chet Lemon,R,72,190,0.273,215
Dick Bertell,R,72,200,0.25,10
Nick Esasky,R,75,200,0.25,122
Larry Milbourne,B,72,161,0.254,11
Joe Keough,L,72,185,0.246,9
Tommy Harper,R,69,165,0.257,146
Bud Harrelson,B,71,160,0.236,7
Don Hahn,R,73,180,0.236,7
Mickey Stanley,R,73,185,0.248,117
Dick Allen,R,71,187,0.292,351
Ken Retzer,L,72,185,0.264,14
Bob Molinaro,L,72,190,0.264,14
Chris Speier,R,73,175,0.246,112
Bob Tillman,R,76,205,0.232,79
Reggie Smith,B,72,180,0.287,314
Jerry Kenney,L,73,170,0.237,7
Glenn Beckert,R,73,190,0.283,22
Joe Rudi,R,74,200,0.264,179
Brad Wellman,R,72,170,0.231,6
Mack Jones,L,73,180,0.252,133
Gene Richards,L,72,175,0.29,26
Mario Mendoza,R,71,170,0.215,4
Tom Matchick,L,73,173,0.215,4
Joe Lahoud,L,73,198,0.223,65
Bobby Murcer,L,71,160,0.277,252
Jim Lyttle,L,72,180,0.248,9
Luis Melendez,R,72,165,0.248,9
Jerry Zimmerman,R,74,185,0.204,3
Johnny Briggs,L,73,190,0.253,139
Doug Flynn,R,71,165,0.238,7
Richie Scheinblum,B,73,180,0.263,13
Bobby Valentine,R,70,189,0.26,12
Gary Roenicke,R,75,205,0.247,121
Joe Lovitto,B,72,185,0.216,4
Pat Corrales,R,72,180,0.216,4
Ellie Hendricks,L,73,175,0.22,62
Pedro Gonzalez,R,72,176,0.244,8
Duke Sims,L,74,197,0.239,100
Tom Seaver,R,73,195,0.154,12
Don Mason,L,71,160,0.205,3
Dave Cash,R,71,170,0.283,21
Ben Oglivie,L,74,160,0.273,235
George Hendrick,R,75,195,0.278,267
Bubba Morton,R,70,175,0.267,14
John Bateman,R,75,210,0.23,81
Don Money,R,73,170,0.261,176
Mike Sadek,R,69,165,0.226,5
Paul Blair,R,72,168,0.25,134
John Milner,L,72,185,0.249,131
Fred Lynn,L,73,185,0.283,306
Jim Pankovits,R,70,170,0.25,9
Jim Barr,R,75,205,0.162,1
Ted Martinez,R,72,165,0.24,7
Bill Robinson,R,74,189,0.258,166
Rick Sweet,B,73,200,0.234,6
Roy Smalley,B,73,185,0.257,163
Ken Suarez,R,69,175,0.227,5
Toby Harrah,R,72,175,0.264,195
Oscar Gamble,L,71,160,0.265,200
Terry Francona,L,73,190,0.274,16
Bill Fahey,L,72,200,0.241,7
Frank Fernandez,R,72,185,0.199,39
Bob Robertson,R,73,195,0.242,115
Frank White,R,71,165,0.255,160
Merritt Ranew,L,71,170,0.247,8
Ed Romero,R,71,160,0.247,8
Rusty Staub,L,74,190,0.279,292
Tim Laudner,R,75,212,0.225,77
Jody Davis,R,76,192,0.245,127
Mike Brumley,L,70,195,0.229,5
Steve Barber,L,72,195,0.115,5
Jim Spencer,L,74,195,0.25,146
Ruppert Jones,L,70,170,0.25,147
Rich Coggins,L,68,170,0.265,12
Bill Freehan,R,75,203,0.262,200
Bill Melton,R,74,200,0.253,160
Earl Williams,R,75,215,0.247,138
Bobby Grich,R,74,180,0.266,224
Ty Cline,L,72,170,0.238,6
