,name,handedness,height,weight,avg,HR
1,Denny Lemaster,R,73,182,0.13,4
2,Joe Nolan,L,71,175,0.263,27
3,Denny Doyle,L,69,175,0.25,16
4,Jose Cardenal,R,70,150,0.275,138
5,Mike Ryan,R,74,205,0.193,28
6,Fritz Peterson,B,72,185,0.159,2
7,Dick Bertell,R,72,200,0.25,10
8,Rod Kanehl,R,73,180,0.241,6
12,Juan Bonilla,R,69,170,0.256,7
13,Frank Tepedino,L,71,185,0.241,6
15,Rick Wise,R,73,180,0.195,15
16,Darrell Evans,L,74,200,0.248,414
17,Buck Martinez,R,70,190,0.225,58
18,John Wockenfuss,R,72,190,0.262,86
19,Tommy McCraw,L,72,183,0.246,75
23,Lee Lacy,R,73,175,0.286,91
24,Pete Rose,B,71,192,0.303,160
25,Danny Walton,R,72,195,0.223,28
26,Bobby Cox,R,71,180,0.225,9
27,Brad Wellman,R,72,170,0.231,6
28,Jeff Newman,R,74,215,0.224,63
29,Pedro Gonzalez,R,72,176,0.244,8
31,Tommie Reynolds,R,74,190,0.226,12
32,Gene Clines,R,69,170,0.277,5
33,Jim Hickman,R,75,192,0.252,159
34,Jack Billingham,R,76,195,0.111,0
35,Jerry Buchek,R,71,185,0.22,22
36,Ivan DeJesus,R,71,175,0.254,21
37,Gary Nolan,R,74,197,0.138,1
39,Fred Whitfield,L,73,190,0.253,108
40,Larry Dierker,R,76,215,0.136,4
41,Dave Skaggs,R,74,200,0.241,3
42,Dick Ruthven,R,75,190,0.183,1
45,Dave Kingman,R,78,210,0.236,442
46,Eric Soderholm,R,71,187,0.264,102
48,Ed Brinkman,R,72,170,0.224,60
49,Wayne Garrett,L,71,175,0.239,61
50,Tony Muser,L,74,180,0.259,7
53,Ted Ford,R,70,180,0.219,17
55,Jim Lyttle,L,72,180,0.248,9
58,Scot Thompson,L,75,195,0.262,5
59,Gene Locklear,L,70,165,0.274,9
60,Bo Diaz,R,71,185,0.255,87
61,Bump Wills,B,69,172,0.266,36
63,Pat Putnam,L,72,205,0.255,63
64,Kurt Bevacqua,R,72,180,0.236,27
66,Syd O'Brien,R,73,185,0.23,24
67,Chris Chambliss,L,73,195,0.279,185
68,Tom Satriano,L,73,185,0.225,21
69,Jeffrey Leonard,R,74,200,0.266,144
70,Dal Maxvill,R,71,157,0.217,6
72,Cesar Tovar,R,69,155,0.278,46
73,Mickey Lolich,B,73,170,0.11,0
75,Jack Heidemann,R,72,175,0.211,9
76,Rich Rollins,R,70,185,0.269,77
77,Walt Bond,L,79,228,0.256,41
78,Merv Rettenmund,R,70,190,0.271,66
80,Byron Browne,R,74,190,0.236,30
81,Hector Torres,R,72,175,0.216,18
82,Walt Williams,R,66,165,0.27,33
83,Jerry Koosman,R,74,205,0.119,2
84,Steve Lombardozzi,R,72,175,0.233,20
85,Joe Azcue,R,72,190,0.252,50
86,Elliott Maddox,R,71,180,0.261,18
87,Omar Moreno,L,74,180,0.252,37
88,Julian Javier,R,73,175,0.257,78
90,Elio Chacon,R,69,160,0.232,4
91,Rusty Torres,B,70,175,0.212,35
92,John Stearns,R,72,185,0.26,46
93,Larry Brown,R,70,160,0.233,47
94,Tommy Dean,R,72,165,0.18,4
97,Marty Martinez,B,72,170,0.243,0
98,Bruce Boisclair,L,74,185,0.263,10
99,Ken Singleton,B,76,210,0.282,246
100,Frank White,R,71,165,0.255,160
101,Jim Fairey,L,70,190,0.235,7
103,Tom Brookens,R,70,165,0.246,71
104,Gary Thomasson,L,73,180,0.249,61
108,Otto Velez,R,72,170,0.251,78
109,Tony Scott,B,72,164,0.249,17
110,Ray Oyler,R,71,165,0.175,15
112,Floyd Robinson,L,69,175,0.283,67
113,Steve Jeltz,B,71,180,0.21,5
114,Lou Brock,L,71,170,0.293,149
116,Joe Lovitto,B,72,185,0.216,4
118,Wayne Comer,R,70,175,0.229,16
119,Dave Collins,B,71,175,0.272,32
120,Ed Spiezio,R,71,180,0.238,39
121,Rico Petrocelli,R,72,175,0.251,210
122,Johnny Lewis,L,73,189,0.227,22
123,Dick Simpson,R,76,176,0.207,15
124,Ken Boswell,L,72,170,0.248,31
125,Ken McMullen,R,75,190,0.248,156
127,Steve Swisher,R,74,205,0.216,20
129,Dick Howser,R,68,155,0.248,16
130,Manny Castillo,B,69,160,0.242,3
131,Mike Ramsey,B,73,170,0.24,2
132,Willie Crawford,L,73,197,0.268,86
134,Willie Norwood,R,72,185,0.242,18
136,Jeff Stone,L,72,175,0.277,11
138,Joe Lahoud,L,73,198,0.223,65
139,Tim Flannery,L,71,175,0.255,9
140,Dave McKay,B,73,195,0.229,21
144,Benny Ayala,R,73,185,0.251,38
146,Greg Gross,L,70,160,0.287,7
148,Sal Butera,R,72,190,0.227,8
149,Jack Brohamer,L,70,165,0.245,30
150,Von Joshua,L,70,170,0.273,30
151,Eddie Milner,L,71,173,0.253,42
152,Johnny Jeter,R,73,180,0.244,18
153,Angel Salazar,R,72,180,0.212,2
154,Tony Oliva,L,73,175,0.304,220
155,Cito Gaston,R,75,190,0.256,91
156,Cookie Rojas,R,70,160,0.263,54
157,Rich Morales,R,71,170,0.195,6
159,Dan Ford,R,73,185,0.27,121
161,Darryl Motley,R,69,196,0.243,44
162,Ozzie Virgil,R,73,180,0.243,98
163,Johnny Oates,L,71,188,0.25,14
165,Mike Phillips,L,72,170,0.24,11
166,Ron Santo,R,72,190,0.277,342
167,Jay Johnstone,L,73,175,0.267,102
168,Jim Ray Hart,R,71,185,0.278,170
169,Marc Hill,R,75,205,0.223,34
172,Chico Salmon,R,70,160,0.249,31
173,Joe Niekro,R,73,185,0.156,1
174,Andy Etchebarren,R,73,190,0.235,49
175,Ken Berry,R,72,175,0.255,58
176,Dave Concepcion,R,74,155,0.267,101
177,Junior Moore,R,71,185,0.264,7
178,Mike Richardt,R,72,170,0.226,4
179,Chris Brown,R,72,185,0.269,38
180,Al Bumbry,L,68,170,0.281,54
181,Al Downing,R,71,175,0.127,2
182,Bob Didier,B,72,190,0.229,0
183,Jake Gibbs,L,72,180,0.233,25
184,Garry Hancock,L,72,175,0.247,12
185,Ed Kranepool,L,75,205,0.261,118
186,Rick Rhoden,R,75,195,0.238,9
187,Denny McLain,R,73,185,0.133,1
188,Chuck Hiller,L,71,170,0.243,20
189,Jorge Orta,L,70,170,0.278,130
190,Dave Cash,R,71,170,0.283,21
191,Bucky Dent,R,69,170,0.247,40
194,Tony Gonzalez,L,69,170,0.286,103
196,Larry Haney,R,74,195,0.215,12
197,Billy Conigliaro,R,72,180,0.256,40
198,Gary Roenicke,R,75,205,0.247,121
199,Don Lock,R,74,195,0.238,122
200,Billy Cowan,R,72,170,0.236,40
201,Billy Smith,B,74,185,0.23,17
203,Tony Perez,R,74,175,0.279,379
204,Chuck Schilling,R,70,160,0.239,23
205,Hal McRae,R,71,180,0.29,191
206,Dave Roberts,R,75,215,0.239,49
208,Jim Lefebvre,B,72,180,0.251,74
211,Charlie Spikes,R,75,215,0.246,65
213,Steve Whitaker,L,72,180,0.23,24
214,Manny Jimenez,L,73,185,0.272,26
216,Duffy Dyer,R,72,187,0.221,30
217,Ken Henderson,B,74,180,0.257,122
220,Vern Fuller,R,73,170,0.232,14
222,Wayne Gross,L,74,210,0.233,121
223,Mike Champion,R,72,185,0.229,2
225,Paul Casanova,R,76,180,0.225,50
226,Steve Rogers,R,74,175,0.138,0
228,Terry Crowley,L,72,180,0.25,42
229,Horace Clarke,B,69,170,0.256,27
230,Lou Clinton,R,73,185,0.247,65
231,Larry Cox,R,70,178,0.221,12
232,Nate Colbert,R,74,190,0.243,173
233,Phil Roof,R,74,190,0.215,43
234,Chuck Hinton,R,73,180,0.264,113
235,Tim Cullen,R,73,185,0.22,9
236,Tim Harkness,L,74,182,0.235,14
237,Rick Bosetti,R,71,185,0.25,17
238,Ron Pruitt,R,72,185,0.269,12
239,George Foster,R,73,180,0.274,348
240,Jerry White,B,70,164,0.253,21
241,Angel Mangual,R,70,178,0.245,22
242,Ken Gerhart,R,72,190,0.221,24
243,Mike Hershberger,R,70,175,0.252,26
244,Jim French,L,68,180,0.196,5
245,Dave Roberts,L,75,195,0.194,7
246,Jim Mason,L,74,185,0.203,12
248,Willie Smith,L,72,182,0.248,46
250,Jose Arcia,R,75,170,0.215,1
251,Leon Durham,L,73,185,0.277,147
253,Paul Householder,B,72,180,0.236,29
254,Aurelio Rodriguez,R,70,180,0.237,124
255,Jimmy Stewart,B,72,165,0.237,8
256,Dick Phillips,L,72,180,0.229,12
257,Andres Thomas,R,73,170,0.234,42
258,Ed Crosby,L,74,175,0.22,0
259,Mike de la Hoz,R,71,175,0.251,25
260,Frank Taveras,R,72,155,0.255,2
261,Joe Nossek,R,72,178,0.228,3
262,Larry Stahl,L,72,175,0.232,36
263,Jose Cruz,L,72,170,0.284,165
264,Don Mason,L,71,160,0.205,3
265,Bill Robinson,R,74,189,0.258,166
267,Sal Bando,R,72,195,0.254,242
268,George Mitterwald,R,74,195,0.236,76
270,Craig Robinson,R,70,165,0.219,0
271,Bob Tillman,R,76,205,0.232,79
273,Pat Corrales,R,72,180,0.216,4
274,Mike Tyson,R,69,170,0.241,27
275,Rafael Landestoy,B,70,165,0.237,4
276,Duane Josephson,R,72,190,0.258,23
277,Duane Walker,L,72,185,0.229,24
278,Glenn Hubbard,R,69,150,0.244,70
279,Roger Freed,R,72,190,0.245,22
280,George Hendrick,R,75,195,0.278,267
281,Rod Carew,L,72,170,0.328,92
282,Bob Davis,R,72,180,0.197,6
283,Toby Harrah,R,72,175,0.264,195
284,Rick Manning,L,73,180,0.257,56
287,Gary Matthews,R,74,185,0.281,234
288,Cesar Geronimo,L,72,165,0.258,51
289,Billy Bryan,L,76,200,0.216,41
291,Terry Whitfield,L,73,197,0.281,33
292,Mario Mendoza,R,71,170,0.215,4
293,Fred Lynn,L,73,185,0.283,306
294,Larry Hisle,R,74,193,0.273,166
295,Graig Nettles,L,72,180,0.248,390
297,Dave Engle,R,75,210,0.262,31
299,Mike Easler,L,72,190,0.293,118
302,Rick Sweet,B,73,200,0.234,6
303,Thurman Munson,R,71,190,0.292,113
304,Rick Monday,L,75,193,0.264,241
305,Mike Sadek,R,69,165,0.226,5
306,Mark Belanger,R,73,170,0.228,20
307,Ron Hunt,R,72,186,0.273,39
308,Joe Keough,L,72,185,0.246,9
310,Vic Correll,R,70,185,0.229,29
311,Jackie Hernandez,R,71,165,0.208,12
312,Tony Solaita,L,72,210,0.255,50
313,U L Washington,B,71,175,0.251,27
316,Joe Foy,R,72,215,0.248,58
317,Ed Goodson,L,75,180,0.26,30
319,Mickey Klutts,R,71,170,0.241,14
320,Leroy Stanton,R,73,195,0.244,77
323,Danny Ainge,R,76,175,0.22,2
324,Adolfo Phillips,R,73,175,0.247,59
325,Marv Breeding,R,72,175,0.25,7
327,Dick McAuliffe,L,71,176,0.247,197
328,Joe Horlen,R,72,170,0.134,0
329,Glenn Burke,R,72,195,0.237,2
331,Terry Humphrey,R,75,185,0.211,6
333,Enzo Hernandez,R,68,155,0.224,2
334,Cesar Gutierrez,R,69,155,0.235,0
335,Coco Laboy,R,70,165,0.233,28
336,Ted Kubiak,B,72,175,0.231,13
337,Jim Morrison,R,71,175,0.26,112
339,Bobby Knoop,R,73,170,0.236,56
340,Bobby Brown,B,74,190,0.245,26
341,Tom Hutton,L,71,180,0.248,22
342,Ron Hodges,L,73,185,0.24,19
343,Rich Chiles,L,71,170,0.254,6
344,Tom Paciorek,R,76,215,0.282,86
345,Gary Woods,R,74,185,0.243,13
346,Bob Montgomery,R,73,195,0.258,23
347,Jeff Burroughs,R,73,200,0.261,240
348,Rusty Staub,L,74,190,0.279,292
349,Jim Norris,L,70,175,0.264,7
350,Oscar Gamble,L,71,160,0.265,200
352,George Vukovich,L,72,198,0.268,27
354,Craig Reynolds,L,73,175,0.256,42
355,Paul Blair,R,72,168,0.25,134
356,Al Cowens,R,73,197,0.27,108
357,Al Oliver,L,72,195,0.303,219
358,Dave Hilton,R,71,191,0.213,6
359,Luis Alvarado,R,69,162,0.214,5
360,Larry Parrish,R,75,190,0.263,256
361,Woodie Fryman,R,75,197,0.138,2
362,Bob Randall,R,74,175,0.257,1
363,Jim Pankovits,R,70,170,0.25,9
365,Carmen Fanzone,R,72,200,0.224,20
366,Gary Allenson,R,71,185,0.221,19
367,Milt May,L,72,190,0.263,77
368,Mike Vail,R,73,180,0.279,34
369,Nick Esasky,R,75,200,0.25,122
370,Jim Nettles,L,72,186,0.22,16
372,Chris Cannizzaro,R,72,190,0.235,18
373,Larry Biittner,L,74,205,0.273,29
375,Mel Stottlemyre,R,73,178,0.16,7
378,Roy Smalley,B,73,185,0.257,163
380,Andy Messersmith,R,73,200,0.17,5
381,Richie Zisk,R,73,200,0.287,207
382,Dave Chalk,R,70,175,0.252,15
383,Don Baylor,R,73,190,0.26,338
384,John Vukovich,R,73,187,0.161,6
385,Danny Thompson,R,72,183,0.248,15
386,Joe Simpson,L,75,175,0.242,9
387,Bill Fahey,L,72,200,0.241,7
388,Doug Camilli,R,71,195,0.199,18
389,Bernie Allen,L,72,175,0.239,73
390,Bruce Bochy,R,75,205,0.239,26
392,Claudell Washington,L,72,190,0.278,164
393,John Donaldson,L,71,160,0.238,4
395,John Mayberry,L,75,215,0.253,255
396,Ken Reitz,R,72,180,0.26,68
397,Amos Otis,R,71,165,0.277,193
398,Gene Alley,R,70,160,0.254,55
399,Ted Sizemore,R,70,165,0.262,23
400,Dan Briggs,L,72,180,0.195,12
402,Doug Flynn,R,71,165,0.238,7
404,Ken Holtzman,R,74,175,0.163,2
405,Pete Ward,L,73,185,0.254,98
406,Kevin Bell,R,72,195,0.222,13
407,Tom Nieto,R,73,193,0.205,5
408,Duke Sims,L,74,197,0.239,100
409,Larvell Blanks,R,68,167,0.253,20
411,Mike Davis,L,74,175,0.259,91
412,Jerry Reuss,L,77,200,0.167,1
413,Steve Yeager,R,72,190,0.228,102
414,Danny Goodwin,L,73,195,0.236,13
415,Bud Harrelson,B,71,160,0.236,7
416,Bob Knepper,L,75,195,0.137,6
417,Mickey Rivers,L,70,165,0.295,61
418,Jim Northrup,L,75,190,0.267,153
419,John Hale,L,74,195,0.201,14
421,Pedro Garcia,R,70,175,0.22,37
422,Carl Yastrzemski,L,71,175,0.285,452
425,Derrel Thomas,B,72,160,0.249,43
426,Art Howe,R,74,190,0.26,43
427,Ike Brown,R,72,190,0.256,20
428,Howie Goss,R,76,204,0.216,11
429,Glenn Borgmann,R,76,210,0.229,16
430,Lamar Johnson,R,74,215,0.287,64
431,Julio Gonzalez,R,71,162,0.235,4
432,Bobby Klaus,R,70,170,0.208,6
433,Manny Sanguillen,R,72,193,0.296,65
434,Gates Brown,L,71,220,0.257,84
435,Johnny Ray,B,71,170,0.29,53
436,Jesus Alou,R,74,190,0.28,32
437,Ken Landreaux,L,70,165,0.268,91
438,Enos Cabell,R,76,170,0.277,60
440,Billy North,B,71,185,0.261,20
441,Juan Beniquez,R,71,150,0.274,79
442,Frank Fernandez,R,72,185,0.199,39
443,Bombo Rivera,R,70,187,0.265,10
444,Steve Brye,R,72,190,0.258,30
445,Ron Jackson,R,72,200,0.259,56
446,Roger Metzger,B,72,165,0.231,5
447,Rufino Linares,R,72,170,0.27,11
448,Ray Webster,L,72,185,0.244,17
449,Bob Kearney,R,72,190,0.233,27
450,Fergie Jenkins,R,77,205,0.165,13
451,Dick Dietz,R,73,195,0.261,66
452,Ted Cox,R,75,195,0.245,10
453,Bobby Mitchell,L,70,170,0.243,3
454,Bobby Mitchell,R,75,185,0.235,21
455,Barry Evans,R,73,180,0.251,2
456,Mickey Brantley,R,70,180,0.259,32
457,Al Gallagher,R,72,180,0.263,11
459,Hector Cruz,R,71,170,0.225,39
460,Fred Norman,B,68,155,0.125,0
461,Woody Woodward,R,74,180,0.236,1
462,Ted Martinez,R,72,165,0.24,7
463,Jim Anderson,R,72,170,0.218,13
464,Lenn Sakata,R,69,160,0.23,25
465,Dave Duncan,R,74,190,0.214,109
466,Randy Jones,R,72,178,0.132,0
467,Dick Billings,R,73,195,0.227,16
469,Bruce Bochte,L,75,195,0.282,100
470,Bernie Carbo,L,71,173,0.264,96
471,Vic Davalillo,L,67,150,0.279,36
472,Burt Hooton,R,73,210,0.123,4
475,Fernando Gonzalez,R,70,165,0.235,17
476,Jim Sundberg,R,72,190,0.248,95
477,Andy Kosco,R,75,205,0.236,73
478,Steve Huntz,B,73,204,0.206,16
480,Lenny Faedo,R,72,170,0.251,5
481,John Lowenstein,L,72,175,0.253,116
482,Don Kessinger,B,73,170,0.252,14
483,Joe Hague,L,72,195,0.239,40
484,Bake McBride,L,74,190,0.299,63
485,Dick Davis,R,75,190,0.265,27
486,Richie Scheinblum,B,73,180,0.263,13
487,Ed Herrmann,L,73,195,0.24,80
490,Bob Molinaro,L,72,190,0.264,14
491,Mike Hegan,L,73,188,0.242,53
492,Mike Diaz,R,74,195,0.247,31
493,Tim Foli,R,72,179,0.251,25
494,Alan Knicely,R,72,190,0.213,12
495,Tim Laudner,R,75,212,0.225,77
496,Jose Morales,R,71,187,0.287,26
499,Juan Marichal,R,72,185,0.165,4
500,Vida Blue,B,72,189,0.104,4
503,Stan Papi,R,72,170,0.218,7
504,Rob Wilfong,L,73,180,0.248,39
506,Steve Henderson,R,74,190,0.28,68
507,Rob Picciolo,R,74,185,0.234,17
510,Roberto Pena,R,68,170,0.245,13
511,Bob Dernier,R,72,160,0.255,23
512,Bill Melton,R,74,200,0.253,160
513,Albert Hall,B,71,155,0.251,5
514,Barbaro Garbey,R,70,170,0.267,11
515,John Milner,L,72,185,0.249,131
516,Rich Reese,L,75,185,0.253,52
517,Chris Bando,B,72,195,0.227,27
518,Bill Buckner,L,72,185,0.289,174
519,Jack Hiatt,R,74,190,0.251,22
520,Nelson Mathews,R,76,195,0.223,22
521,Larry Lintz,B,69,150,0.227,0
522,Ron Theobald,R,68,165,0.248,2
524,Rafael Santana,R,73,165,0.246,13
525,Jerry Hairston,B,70,170,0.258,30
529,Tommie Aaron,R,75,190,0.229,13
530,Steve Dillard,R,73,180,0.243,13
533,George Scott,R,74,200,0.268,271
535,Ken Walters,R,73,180,0.231,11
536,Gorman Thomas,R,74,210,0.225,268
537,Paul Dade,R,73,185,0.27,10
538,Darrell Porter,L,72,193,0.247,188
539,Tim Johnson,L,73,170,0.223,0
540,Fred Stanley,R,70,165,0.216,10
541,Larry Bowa,B,70,155,0.26,15
542,Tim Corcoran,L,71,175,0.27,12
543,Jim Spencer,L,74,195,0.25,146
544,Pete LaCock,L,74,200,0.257,27
545,Carl Morton,R,72,200,0.156,7
546,Gary Gray,R,72,187,0.24,24
547,Matty Alou,L,69,160,0.307,31
549,Jim Dwyer,L,70,165,0.26,77
550,Dalton Jones,L,73,180,0.235,41
551,Rennie Stennett,R,71,160,0.274,41
553,Jerry May,R,74,190,0.234,15
554,Rich McKinney,R,71,185,0.225,20
555,Clint Hurdle,L,75,195,0.259,32
556,Mike Andrews,R,75,195,0.258,66
557,Bobby Clark,R,72,190,0.239,19
559,Cliff Johnson,R,76,215,0.258,196
561,Donn Clendenon,R,76,209,0.274,159
562,Charlie James,R,73,195,0.255,29
563,Bob Horner,R,73,195,0.277,218
564,Tom Veryzer,R,73,175,0.241,14
566,George Smith,R,70,170,0.205,9
567,Jim Essian,R,74,195,0.244,33
568,Onix Concepcion,R,66,160,0.239,3
569,Boots Day,L,69,160,0.256,8
570,Brian Giles,R,73,165,0.228,10
571,Garry Maddox,R,75,175,0.285,117
572,Alex Trevino,R,70,165,0.249,23
573,Jim Price,R,72,192,0.214,18
574,Felix Millan,R,71,172,0.279,22
